file_path,class,loc,interactivity_signals,estimated_effort_hours,notes
web/src/components/admin/shell/internal/language-add-search.tsx,C,250,react:useState | custom-hooks:useDashboardText | events:6 | jsx-nodes:17,0.00,heavy state (3 useState)
web/src/components/admin/shell/internal/language-slot-panel.tsx,C,464,"react:useEffect,useRef,useState | custom-hooks:useDashboardText | events:6 | jsx-nodes:22",0.00,heavy state (5 useState)
web/src/components/admin/shell/internal/live-category-fields-editor.tsx,C,1340,"react:useEffect,useRef,useState | custom-hooks:useDrawerWidth | events:30 | browser:ResizeObserver,requestAnimationFrame | jsx-nodes:90",0.00,heavy state (12 useState)
web/src/components/admin/shell/internal/live-category-fields-history.tsx,C,242,"react:useEffect,useState | events:3 | jsx-nodes:29",0.00,"react-hooks=useEffect,useState"
web/src/components/admin/shell/internal/location-slot-panel.tsx,C,404,"react:useEffect,useRef,useState | custom-hooks:useDashboardText | events:17 | browser:document | jsx-nodes:35",0.00,heavy state (7 useState)
web/src/components/admin/shell/internal/media-page.tsx,C,2588,"react:useEffect,useRef,useState | custom-hooks:useAdminShell,useQueuedRouterRefresh | events:77 | browser:IntersectionObserver,localStorage,matchMedia,navigator,window | jsx-nodes:288",0.00,heavy state (60 useState)
web/src/components/admin/shell/internal/messages/AdminOperationsShell.tsx,C,524,"custom-hooks:useAdminShell,useScrollIntoViewWhenActive,useSeenSubscription | events:6 | jsx-nodes:37",0.00,heavy state (4 useState)
web/src/components/admin/shell/internal/messages/ClientProjectShell.tsx,C,703,"nav:useRouter | custom-hooks:useAdminShell,useFlagsSubscription,useScrollIntoViewWhenActive,useSeenSubscription | events:12 | browser:window | jsx-nodes:63",0.00,heavy state (4 useState)
web/src/components/admin/shell/internal/messages/TalentJobShell.tsx,C,624,"custom-hooks:useFlagsSubscription,useResizableInboxLayout,useScrollIntoViewWhenActive,useSeenSubscription,useTalentConversations | events:14 | jsx-nodes:64",0.00,heavy state (4 useState)
web/src/components/admin/shell/internal/messages/admin-1.tsx,C,454,"react:useState,useTransition | nav:useRouter | custom-hooks:useAdminShell,useFlagsSubscription,useHandoffSubscription | events:14 | jsx-nodes:49",0.00,heavy state (3 useState)
web/src/components/admin/shell/internal/messages/admin-2.tsx,C,540,nav:useSearchParams | custom-hooks:useAdminShell | events:12 | jsx-nodes:42,0.00,heavy state (3 useState)
web/src/components/admin/shell/internal/messages/admin-3.tsx,C,395,"nav:useRouter | custom-hooks:useAdminShell,usePlanTierFromShell,useStageTransitionMenuForReservation | events:5 | jsx-nodes:41",0.00,"nav-hooks=useRouter; custom-hooks=useAdminShell,usePlanTierFromShell,useStageTransitionMenuForReservation"
web/src/components/admin/shell/internal/messages/admin-4.tsx,C,415,"custom-hooks:useAdminShell,useMessageStashSubscription | events:7 | jsx-nodes:45",0.00,"custom-hooks=useAdminShell,useMessageStashSubscription"
web/src/components/admin/shell/internal/messages/client-1.tsx,C,289,custom-hooks:useAdminShell | events:8 | jsx-nodes:62,0.00,heavy state (3 useState)
